Titolo,URL progetto,Sito funzionante,Sito non trovato,Sito non funzionante,Sito non reinderizzato,Sito parzialmente Inacessibile,Sito dopo migrazione,URL sito vetrina,URL sito vetrina risolve?,URL Anticamera,URL Anticamera risolve?,Provenance,KNOT URI,NOTE,URL progetto First_Seen,URL progetto Last_Seen
Memoria di guerra,http://www.memoriediguerra.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/memorie-guerra-project,,2016-12-18 23:50:19,2024-12-21 20:12:39
melody. make me a linked open data story,https://projects.dharc.unibo.it/melody/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,"a volte carica tutte le lettere, a volte no",2022-10-06 19:12:07,2024-11-17 23:01:39
mAuth - Mining Authoritativeness in Art History,https://projects.dharc.unibo.it/mauth/search,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,KNOT,http://purl.org/knot/data/mauth-project,,2023-01-30 20:56:53,2023-09-27 18:55:49
Matilde Di Canossa,http://www.labcd.unipi.it/matildedicanossa,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2021-03-19 07:48:28,2024-06-03 02:31:15
Maps and Gazetteers,https://maps.biblhertz.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,impossibile raggiungere il sito,2020-04-11 10:57:01,2024-12-18 20:28:36
Mappa project,https://mappaproject.arch.unipi.it/mod/Index.php,TRUE,FALSE,FALSE,FALSE,FALSE,,http://www.mappaproject.org/,TRUE,,,KNOT,http://purl.org/knot/data/mappa-open-project,,2012-05-24 04:23:54,2024-08-28 20:39:02
Manoscritti Italiani Volgari del 17° secolo,https://miv17.labdilef.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/miv17-project,,2023-01-28 07:31:05,2024-12-29 22:09:52
Lodovico Media Library,https://lodovico.medialibrary.it/home/index.aspx,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/lodovico-project,,2021-04-15 10:02:13,2025-01-02 14:02:56
Linking Latin,https://lila-erc.eu/LiLaLisp/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,https://lila-erc.eu/#about-1,TRUE,AIUCD,,,2023-10-20 13:14:10,2024-12-09 10:21:39
Lineamenta,https://fm.biblhertz.it/fmi/xsl/home.xsl?-token.proj=li,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2020-08-20 06:02:20,2022-07-12 13:03:30
Linea: per un portale della letteratura italiana del Novecento,https://linea.unict.it,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2022-06-26 01:07:51,2023-06-09 20:17:14
Libretti d'opera,https://www.librettodopera.it/public/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/libretti-opera-project,,2016-09-06 17:23:02,2024-12-28 22:59:43
Library Data Integration: the CoBiS Linked Open Data Project and Portal,https://dati.cobis.to.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,IRCDL,,,2017-04-23 13:44:15,2025-01-05 03:50:57
LIBERaBIT,https://www.liberabit.unisa.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/liberabit-project,,2022-09-19 18:31:15,2024-12-23 23:16:27
leggo manzoni,https://projects.dharc.unibo.it/leggomanzoni/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2024-04-04 05:56:58,2024-08-06 10:10:15
Le parole dell'arte. Accademia della crusca,https://mla.accademiadellacrusca.org/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2019-03-28 15:34:02,2024-12-06 19:21:20
Le Lettere di Alessandra Macinghi Strozzi,https://macinghi-strozzi.labdilef.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/macinghi-strozzi-project,,2022-06-30 16:45:39,2024-12-05 20:14:14
"Last Letters from the World Wars: Forming Italian Language, Identity and Memory in Texts of Conflict",https://www.ultimelettere.it/LastLetters/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2020-02-26 08:45:09,2024-06-14 10:38:33
L'Area Cimiteriale di San Matteo,https://sepolturesanmatteo.labcd.unipi.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/cimi-san-matteo-project,,2021-03-05 00:01:09,2024-06-19 07:59:27
Italian Natural Language Processing Lab,http://www.italianlp.it/demo/linguistic-annotation-tool/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/lingua-project,,2014-07-12 10:58:42,2024-09-06 12:14:11
"IntraText dLib: digital library framework system based on distributed collaboration, e-mail interaction and easy to use text-to-xml facilities for editorial accuracy ",https://www.intratext.com/,TRUE,FALSE,FALSE,FALSE,TRUE,,,FALSE,,FALSE,IRCDL,,,,
Index Thomisticus Treebank,https://itreebank.marginalia.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,la funzione multilingua non funziona sempre,2008-12-17 15:41:46,2024-12-08 00:12:52
In Codice Ratio: Machine Transcription of Medieval Manuscripts,https://www.inf.uniroma3.it/db/icr/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,IRCDL,,,2018-05-03 15:16:58,2024-08-26 11:45:42
Illuminated Dante Project (IDP),https://www.dante.unina.it/ndp/public/frontend,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,AIUCD,,traslocato a https://www.unive.it/pag/44465/,2024-11-10 21:13:11,2024-12-12 14:45:03
Illuminated Dante Project,https://www.dante.unina.it/idp/public/frontend,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,error 404,2024-06-20 11:35:23,2024-12-08 04:08:30
Idilli di Giacomo Leopardi,https://leopardi.ecdosys.org/en/Home/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/idili-leopardi-project,,2024-05-09 13:23:46,2024-05-09 13:24:10
I Tatti Digital Collection,https://collection.itatti.harvard.edu/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,protocollo https non implementato + file not found,2022-04-18 00:10:45,2024-12-27 00:17:53
I conti con la Storia: Le leggi razziali tra televisione e storiografia,http://www.iconticonlastoria.it,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,DH Awards,,,2021-01-08 14:32:52,2024-11-25 04:46:29
Hyperpavese,https://www.hyperpavese.com/progetto.php,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,AIUCD,,sparql endpoint non accessibile,2021-10-24 10:18:42,2024-07-19 03:49:28
https://zuccaro.biblhertz.it/,https://zuccaro.biblhertz.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,è un sito vetrina (https://vision.artresearch.net/resource/start),2004-06-06 20:10:01,2024-12-10 07:24:24
Hertziana Rare Books Online,https://dlib.biblhertz.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,pagina non trovata,2017-04-12 15:39:57,2024-12-26 17:42:26
Heinrich Wölfflin,https://editions.humanitiesconnect.pub/exist/apps/hwgw/index.html,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,,
Greek Schools,https://viewer.greekschools.eu/,TRUE,FALSE,FALSE,FALSE,FALSE,,https://www.ilc.cnr.it/progetti/greekschools-2/,TRUE,,FALSE,Italian DH Institutions,,,2023-11-02 07:28:30,2024-12-09 06:22:36
Greek into Arabic,http://www.greekintoarabic.eu/index0b30.html,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/g2a-project,,2020-07-13 05:03:21,2023-10-02 08:45:20
gigapixel images,https://virtualphotothek.khi.fi.it/gigapixel/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2022-08-31 15:41:18,2023-03-21 14:52:41
Gesture Atlas,https://biblhertz.github.io/atlas/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,error 404,2020-09-06 21:49:35,2022-12-03 12:59:41
Galleria Borghese,https://galleriaborghese.beniculturali.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2010-07-22 07:22:55,2025-01-04 13:29:46
FRED - Machine Reading for the Semantic Web,http://wit.istc.cnr.it/stlab-tools/fred/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/fred-project,,2012-07-15 01:08:17,2024-12-13 15:38:02
framester,https://framester.github.io/,TRUE,FALSE,FALSE,FALSE,FALSE,,http://etna.istc.cnr.it/framester_web/,TRUE,,FALSE,Italian DH Institutions,,,2024-04-17 22:31:51,2024-07-14 20:00:03
Foto,https://foto.biblhertz.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2007-12-18 20:03:19,2025-01-05 03:48:43
Fondazione fava,https://www.fondazionefava.it/archivio-di-giuseppe-fava/,TRUE,FALSE,FALSE,FALSE,TRUE,,,FALSE,,FALSE,AIUCD,,,2023-09-30 07:02:51,2024-12-13 06:13:26
Flos,http://iu.di.unipi.it/flos/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2019-12-07 05:03:59,2022-05-19 01:17:10
Florentine Drawings,https://florentinedrawings.itatti.harvard.edu/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,error 404 not found,2017-03-23 09:40:04,2024-12-28 07:03:53
Europeana Eagle Project,https://www.eagle-network.eu/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,problemi col protocollo google maps,2013-01-28 03:32:48,2025-01-05 00:21:11
Establishing a Digital Library in Wide-Ranging University’s Context The Sapienza Digital Library Experience,https://sapienzadigitallibrary.uniroma1.it/index.php/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,IRCDL,,,2024-08-07 05:28:00,2024-12-02 09:07:39
Erbario di Aldovrandi,https://botanica.sma.unibo.it/aldrovandi/Explore,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,https://botanica.sma.unibo.it/,TRUE,AIUCD,,,2018-09-22 00:49:25,2024-09-14 05:05:43
Epistolario De Gasperi,https://epistolariodegasperi.it/#/,TRUE,FALSE,FALSE,FALSE,TRUE,,,FALSE,,FALSE,Italian DH Institutions,,traslocato https://alcidedigitale.fbk.eu/platform/,2019-05-09 14:20:35,2024-07-21 18:41:44
Epistolario De Gasperi,https://www.epistolariodegasperi.it/#/archivio_digitale/lettere,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,www.epistolariodegasperi.it,TRUE,AIUCD,,,2019-05-09 14:20:35,2024-07-21 18:41:44
Epigraphic Database Roma (EDR),http://www.edr-edr.it/default/index.php,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/edr-project,,2017-02-24 03:00:58,2024-10-08 07:29:04
Epicum: Epigraphs of Castello Ursino Museum,http://epicum.istc.cnr.it/collezione/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2022-07-06 23:18:50,2024-09-14 21:57:55
ELA - Eurasian Latin Archive,http://ela.unisi.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/ela-project,,2021-12-17 00:20:52,2024-02-25 02:48:08
"Eine römische Trilogie: Schudt, Caldana, Schlosser",https://dlib.biblhertz.it/guide/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,,
EDV -  Epigraphic Database Vernacular,http://www.edvcorpus.com/wp/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/edv-project,,2019-11-11 01:16:32,2024-09-13 20:25:39
edizione nazionale delle opere di aldo moro,https://aldomorodigitale.unibo.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2021-05-25 07:08:38,2024-12-18 20:02:52
EDB: Knowledge Technologies for Ancient Greek and Latin Epigraphy,https://www.edb.uniba.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,IRCDL,,problemi con javascript,2004-10-14 18:23:51,2024-12-08 06:00:34
Ebla Digital Archives,http://ebda.cnr.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2018-11-30 12:18:25,2024-12-16 10:04:22
Ebla Digital Archives,http://ebda.cnr.it/index,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/ebla-project,,2019-02-03 10:29:08,2024-09-26 17:51:32
Eagle Project,https://www.eagle-network.eu/basic-search/,TRUE,FALSE,FALSE,FALSE,FALSE,,https://www.eagle-network.eu/basic-search/,FALSE,,FALSE,AIUCD,,,2016-03-07 22:59:33,2024-09-09 11:47:46
e-rihs,https://www.e-rihs.eu/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,è un tool e nei deliverabels raccoglie alcuni risultati vari,,
DOGE Percorsi Digitali,https://doge.unige.net/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/doge-project,il corpus è accessibile solo con credenziali,2022-01-26 16:15:57,2024-11-27 17:51:30
digitizing the die kirchen von siena project,https://sienaproject.khi.fi.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,"li project url è più un sito vetrina, per visualizzare il modello 3d bisogna scaricare un software e un dataset in locale",2022-08-11 01:22:37,2024-12-14 05:03:16
digital photothek,http://photothek.khi.fi.it/?Language=en,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2015-03-29 05:01:44,2023-07-08 20:16:30
Digital Library Pavia,https://www.bibliotecadigitale.unipv.eu/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/digi-lib-pavia-project,,2020-12-18 07:55:58,2025-01-05 03:10:55
digital library (ficlit),https://dl.ficlit.unibo.it,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,error 404,2022-05-17 03:57:57,2024-12-26 23:09:55
digilibLT: Biblioteca digitale di testi latini tardoantichi,http://www.digiliblt.unipmn.it/,TRUE,FALSE,FALSE,FALSE,TRUE,,,FALSE,,FALSE,DH Awards,,,2012-02-05 00:48:17,2024-05-11 14:29:16
DigilibLT - Biblioteca digitale di testi latini tardoantichi,https://digiliblt.uniupo.it/index.php,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/digiliblt-project,,2017-10-22 13:23:29,2024-11-08 16:15:04
DIGESTO,http://dbtvm1.ilc.cnr.it/digesto/Digesto_Home.html,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/digesto-project,ogni tanto qualche link dà pagina non trovata,2022-03-08 23:13:17,2023-03-27 21:10:32
dhdkey!,https://projects.dharc.unibo.it/dhdkey/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2021-04-30 23:09:42,2024-08-06 11:30:05
DB allegorico dantesco,https://www.databaseallegoricodantesco.it/archivio.php,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,AIUCD,,,2023-12-06 20:06:23,2024-03-01 13:09:05
DASI: digital archive for the study of pre-islamic arabian inscriptions,https://dasi.cnr.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2018-12-20 23:04:20,2025-01-05 01:38:20
Daphnet: Modern Philosophy,http://modernsource.daphnet.iliesi.cnr.it/,TRUE,FALSE,FALSE,FALSE,TRUE,,http://www.daphnet.iliesi.cnr.it/,TRUE,,FALSE,AIUCD,,,2022-10-01 13:30:27,2022-10-01 13:30:27
Daphnet: Ancient Philosophy,http://ancientsource.daphnet.iliesi.cnr.it/,TRUE,FALSE,FALSE,FALSE,TRUE,,http://www.daphnet.iliesi.cnr.it/,TRUE,,FALSE,AIUCD,,,2022-09-24 20:41:09,2024-06-06 13:24:10
DanteSources,https://dantesources.dantenetwork.it/index.html,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2021-03-25 11:05:01,2024-07-14 05:26:19
Dante: A Web Application for the History of Art,https://dante.beniculturali.unipd.it/dante-web/,TRUE,FALSE,FALSE,FALSE,TRUE,,,FALSE,,FALSE,AIUCD,,non si riesce a scaricare i dataset,2022-01-22 13:54:32,2024-11-21 23:13:28
Dante Search,https://dantesearch.dantenetwork.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/dante-search-project,,2020-08-11 23:56:14,2024-12-13 04:35:15
"dante depicted: a commentary on image, text, and exegesis around the commedia",https://dante.khi.fi.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2023-03-09 09:56:49,2024-12-18 04:57:14
Dal Libro alla Biblioteca (DaLiB),https://dalib.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/dalib-project,,2023-03-30 10:25:50,2024-12-26 17:19:36
Czech-IT! Linguistic corpus of native Czech and Slovak learners acquiring Italian language,https://czech-it.github.io/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,AIUCD,,explore page not working,2022-01-19 21:30:45,2024-03-04 11:16:06
"Culturaitalia, the Italian National Content Aggregator in Europeana",http://dati.culturaitalia.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,IRCDL,,,2013-06-22 13:23:09,2025-01-04 12:31:16
CRIA,https://cria.itatti.harvard.edu/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2016-12-12 16:51:06,2024-11-27 13:30:16
Corpus Rhythmorum Musicum,https://www.corimu.unisi.it/public/frontend/index,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/corimu-project,,2021-07-25 00:28:35,2023-03-21 00:23:42
Corpus KIParla - L'italiano parlato e chi parla italiano,https://kiparla.it/,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,KNOT,http://purl.org/knot/data/kiparla-project,,2020-08-05 13:29:31,2024-11-16 08:55:14
Corago,http://corago.unibo.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/corago-project,,2013-10-05 19:43:16,2025-01-05 03:47:02
CoPhiLab: Collaborative and Cooperative Philology Lab,http://www.languagelibrary.eu/new_ewnui/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2017-06-12 00:33:27,2024-03-07 18:27:00
Controcultura,https://echaurren.biblhertz.it/PE.html,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2021-08-03 22:56:58,2024-12-14 20:49:06
Confluenze,https://confluenze.dev/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,mi sembra un sitovetrina e basta,2024-04-18 17:03:56,2024-12-24 12:32:22
Colonizzazioni interne e Migrazioni,https://storia.dh.unica.it/colonizzazioninterne/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/col-interne-project,"fa un redicrect, e poi impossibile raggiungere il sito",2020-09-24 14:17:44,2024-12-26 11:13:46
Codex Atlanticus: exploring the largest exhisting collection of writings and drawings of Leonardo Da Vinci,https://codex-atlanticus.ambrosiana.it/#/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2022-06-21 22:27:33,2024-12-22 10:53:28
CO.COR (COMPLIMENT CORPUS),http://www.cocor.eu/index.php,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,KNOT,http://purl.org/knot/data/cocor-project,,2020-12-30 05:20:10,2023-10-26 00:43:20
Clori - archivio della cantata italiana,https://cantataitaliana.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/clori-project,,2011-10-30 09:03:36,2024-12-29 00:55:12
Classici Dse (EVT viewer),https://www.classici-dse.com/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2021-11-29 17:14:13,2023-08-29 10:38:19
CLaSSES - Corpus for Latin Sociolinguistic Studies on Epigraphic textS,https://classes-latin-linguistics.fileli.unipi.it/en,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/classes-project,,2020-10-23 21:57:04,2024-10-02 17:52:39
Cipro,https://cipro.biblhertz.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2021-06-24 15:55:38,2024-12-04 21:25:56
Catalogus Philologorum Classicorum (CPhCl),http://www.aristarchus.unige.net/CPhCl/en/Home,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/cphci-project,error 404 not found,2017-09-28 12:52:45,2024-07-21 13:01:09
catalogue,https://projects.dharc.unibo.it/knot/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2024-12-13 04:18:48,2024-12-15 07:15:46
"CASPAR: Cultural, Artistic and Scientific Knowledge for Preservation, Access and Retrieval","https://www.casparpreserves.eu/caspar-project.html#:~:text=CASPAR%20%2D%20Cultural%2C%20Artistic%20and%20Scientific,cultural%20and%20scientific%20resources%22).",TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,IRCDL,,alcune visualizzazioni non sono accessibili tipo % 100 toponimi più frequenti,2011-01-30 05:51:19,2024-07-21 06:33:53
Carteggio Ricci digital library,http://carteggiodiguerra.cnr.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/carteggio-ricci-project,,2022-03-16 09:18:54,2024-06-14 22:58:34
Carte d'autore online,https://www.cartedautore.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/carte-autore-project,,2014-08-10 16:44:11,2024-12-07 23:19:34
Carlo Goldoni,https://www.carlogoldoni.it/public/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/goldoni-drammi-project,è un sito vetrina,2016-05-27 06:14:33,2024-12-29 01:45:22
Bradypus,https://bdus.cloud/,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,KNOT,http://purl.org/knot/data/bradypus-project,impossibile raggiungere il sito,2021-02-27 11:46:02,2024-12-08 06:44:57
Biflow: catalogo bilingue,https://catalogobiflow.vedph.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2021-06-29 08:01:26,2025-01-04 02:12:38
Biblioteca Italiana,http://www.bibliotecaitaliana.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/bib-ita-project,,2002-02-03 09:34:32,2025-01-05 01:15:54
Biblioteca Informatica dei Libri di Famiglia,https://bilf.ipertesti.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2022-09-30 20:26:19,2024-12-03 23:07:47
Bellini corrispondenza,http://bellinicorrespondence.cnr.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,AIUCD,,,2022-01-20 21:32:38,2024-08-11 21:33:19
Belle Greene,https://bellegreene.itatti.harvard.edu/,TRUE,FALSE,FALSE,FALSE,TRUE,,,FALSE,,FALSE,Italian DH Institutions,,è un tool ma espone anche due demo edizioni digitali. rientra,2023-08-20 23:24:18,2024-12-23 12:15:40
Atlante Storia MArittima della SArdegna,https://storia.dh.unica.it/asmsa/it,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/asmsa-project,,2024-02-21 03:58:11,2024-09-12 00:15:19
Atlante Lessicale Toscano,http://serverdbt.ilc.cnr.it/ALTWEB,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/alt-project,,2007-07-27 12:07:23,2024-12-08 04:37:19
ASIt: Atlante Sintattico d’Italia,http://svrims2.dei.unipd.it:8080/asit-maldura/pages/search.jsp,TRUE,FALSE,FALSE,FALSE,TRUE,,http://asit.maldura.unipd.it/,TRUE,,FALSE,AIUCD,,,2013-12-16 00:21:39,2024-02-28 19:17:19
Artesia,http://artesia.ovi.cnr.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2013-01-22 01:20:04,2024-09-28 05:55:19
artchives - the inventory of art historians’ archives,http://artchives.fondazionezeri.unibo.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2020-11-28 13:54:26,2024-12-31 12:03:35
arco,http://wit.istc.cnr.it/arco/index.php?lang=en,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2019-07-26 10:04:19,2024-05-24 15:36:07
Archivio Università Castrense,https://archivio.universitacastrense.eu/,TRUE,FALSE,FALSE,FALSE,TRUE,,,FALSE,,FALSE,AIUCD,,,2019-08-28 10:33:58,2025-01-01 09:18:11
Archivio Musicale dell'Orchestra Sinfonica Nazionale della Rai,http://www.osn.teche.rai.it/Default.aspx,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/rai-orchestra-project,,2016-09-05 16:31:30,2024-08-13 16:24:56
Archivio fonti orali,https://pric.unive.it/progetti/archivio-fonti-orali/home,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,FALSE,Italian DH Institutions,,,2021-02-28 04:06:39,2024-12-04 07:06:04
Archivio Elettronico delle Opere di Carlo Emilio Gadda,http://dbtvm1.ilc.cnr.it/Gadda/,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,KNOT,http://purl.org/knot/data/gadda-archive-project,lo abbiamo già ma è interessante vedere i link diversi,2024-05-22 08:54:38,2024-06-28 17:03:05
Archivio digitale del Risorgimento in Sardegna,https://storia.dh.unica.it/archiviodigitalerisorgimento/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/archivio-risorgimento-sardegna-project,,2020-09-24 14:44:16,2024-11-26 22:16:19
Archilet - archivio delle corrispondenze letterarie di età moderna,http://www.archilet.it/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/archilet-project,,2012-10-11 01:01:05,2024-12-17 20:47:10
ArchiDATA - Archivio di (retro)datazioni lessicali,https://www.archidata.info/,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,KNOT,http://purl.org/knot/data/archidata-project,,2006-02-08 12:11:34,2024-12-02 18:20:10
